Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,H1 Focus_2,H1 Facing_2
скучать,3-rd,closed,curved,straight,ulnar,ulnar,absent,absent,space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
мониторить,1-st; 2-nd,absent,straight,straight,palm,palm,wide,absent,space,horisontal,high-low; contra-ipsi,sraight; sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,ulnar,
двигаться,all,absent,straight,bent-straight,palm,ulnar,wide,absent,space,horisontal,contra-ipsi; ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
мямлить,1-st; 2-nd,open-closed,straight,bent,radial,absent,pointed,absent,head-low,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated,,
должен,1-st,absent,straight,straight,palm,palm,absent,absent,hand-palm,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
называть,1-st,absent,straight,straight,tips,radial,absent,absent,hand-classifier; space,horisontal,low-high,sraight,thumb,absent,straight,straight,absent,ulnar,absent,repeated; crossed,,
рассказывать,2-nd,closed-open,curved,straight,tips,ulnar,absent,absent,space,parallel,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
тошнить,all,absent,straight,bent,tips,radial,absent,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
игнорировать,all,open-closed,straight,bent,radial,palm,pointed,absent,head-side,absent,near-far,arc,absent,absent,absent,absent,absent,absent,absent,biderectional,,
кивать,absent,absent,absent,absent,tips,palm,absent,absent,space,parallel,high-low,iconic,absent,absent,absent,absent,absent,absent,absent,repeated,,
записывать,all,closed-open,straight,bent,palm,absent,pointed,absent,hand-palm,horisontal,absent,absent,absent,absent,absent,absent,absent,back,absent,repeated,,
оскорблять,1-st,absent,straight-curved,straight,tips,back,absent,absent,head-low,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
оскорбить,1-st,open-closed,straight-curved,straight-bent,tips,back,absent,absent,head-low,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
предлагать,all,absent,straight,straight,absent,radial,pointed,neutral-supine,trunk,absent,low-high; near-far,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
пропустить,all,open-closed,straight-curved,straight-bent,palm,absent,pointed,absent,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,tense,,
откупорить,1-st; thumb,absent,curved,straight,tips,radial,absent,absent,hand-classifier,horisontal,near-far,arc,absent,absent,absent,absent,absent,ulnar,absent,tense,,
"душить, подавлять",all,open-closed,straight-curved,straight-bent,palm,absent,pointed,absent,neck,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
ориентироваться,all,absent,straight,straight,ulnar,tips,pointed,neutral-back,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,repeated; laceration,,
происходить,1-st,closed-open,curved-straight,bent-straight,palm,tips,absent,absent,hand-back,parallel,high-low; contra-ipsi,sraight,absent,absent,absent,absent,absent,back,absent,repeated,radial,
должен,1-st,absent,straight,straight,palm,palm,absent,absent,hand-palm,horisontal,far-near; high-low,arc,absent,absent,absent,absent,absent,back,absent,tense,,
перехлестывать,all,absent,straight,straight,palm,palm,pointed,absent,hand-back,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
нападать,all,absent,straight,straight,palm,tips,wide,absent,space,horisontal,x-y; proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
шлепать,all,absent,straight,straight,palm,palm,pointed,absent,virtual object; space,sagittal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,repeated,,
миновать,thumb,absent,straight,straight,palm,tips,absent,absent,hand-classifier; space,horisontal,proxi-distal,sraight,thumb,absent,absent,absent,absent,ulnar,absent,symmetrical,,ulnar
пройти мимо,all,absent,straight,straight,palm,ulnar,wide,absent,hand-palm,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
платить,all,open-closed,straight,bent,back,tips,absent,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
платить.кредиткой,all,closed,straight,bent,tips,ulnar,pointed,absent,space,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
клюнуть,1-st; thumb,absent,curved,straight,tips,tips,absent,absent,space,sagittal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
мочиться,1-st,absent,straight,straight,root,palm,absent,absent,trunk,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
взглянуть,1-st; 2-nd,absent,straight,straight,tips,tips,wide,absent,head-mid; space,horisontal,near-far; proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
наказывать,all,absent,straight,straight,palm,radial,pointed,absent,hand-back,parallel,low-high,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
вмешиваться,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid; hand-palm,sagittal,far-near; proxi-distal,sraight; sraight,absent,absent,absent,absent,absent,absent,absent,absent,,radial
выполнять,all,absent,straight,straight,palm,tips,pointed,absent,hand-narrow,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
